disease,description,success
hyperammonemia due to N-acetylglutamate synthase deficiency,"hyperammonemia due to N-acetylglutamate synthase deficiency, a rare autosomal recessive urea cycle disorder that disrupts ammonia detoxification, resulting in dangerously elevated blood ammonia levels and a spectrum of neurologic and gastrointestinal symptoms.",True
white piedra,"white piedra, a rare fungal infection of the hair shaft caused by Trichosporon species that forms small white or light brown nodules, often leading to hair breakage and mild itching.",True
Lown-Ganong-Levine syndrome,"Lown-Ganong-Levine syndrome, a rare cardiac pre-excitation disorder characterized by a short PR interval with normal QRS complexes on electrocardiogram and episodes of paroxysmal tachycardia due to an accessory conduction pathway bypassing the atrioventricular node.",True
choroiditis,"choroiditis, an inflammation of the choroid—a vascular layer behind the retina—that can lead to vision problems and is commonly associated with infections, autoimmune conditions, or ocular trauma.",True
measles,"measles, a highly contagious viral infection characterized by fever, a red rash, cough, and potential severe complications, especially in young children, which is preventable through vaccination.",True
nebulin-related early-onset distal myopathy,"nebulin-related early-onset distal myopathy, a rare autosomal recessive disorder characterized by slowly progressive early-onset weakness and atrophy of distal muscles, especially the lower leg extensors, finger extensors, and neck flexors.",True
carbamoyl phosphate synthetase I deficiency disease,"carbamoyl phosphate synthetase I deficiency disease, is a rare inherited urea cycle disorder caused by mutations in the CPS1 gene that disrupts the conversion of ammonia into urea, leading to toxic hyperammonemia and symptoms such as poor feeding, vomiting, lethargy, seizures, and potentially life-threatening neurological complications.",True
trichostrongylosis,"trichostrongylosis, a zoonotic infection caused by nematodes of the genus Trichostrongylus typically acquired through ingestion of infective larvae from contaminated produce or water that usually results in mild, often subclinical symptoms but may lead to gastrointestinal distress and anemia in heavy infections.",True
ancylostomiasis,"ancylostomiasis, a parasitic infection caused by hookworms such as Ancylostoma duodenale and Necator americanus that feed on intestinal blood, potentially leading to iron deficiency anemia and malnutrition.",True
ileus,"ileus, a temporary halt in intestinal movement leading to a functional blockage of the digestive tract that can result from surgery, infections, or other systemic conditions.",True
hereditary breast ovarian cancer syndrome,"hereditary breast ovarian cancer syndrome, is an inherited cancer predisposition syndrome characterized by a significantly increased risk of breast and ovarian cancers, along with other associated malignancies, often linked to mutations in genes such as BRCA1 and BRCA2.",True
adult-onset distal myopathy due to VCP mutation,"adult-onset distal myopathy due to VCP mutation, is a rare genetic disorder characterized by middle age-onset distal leg muscle weakness with anterior compartment atrophy leading to foot drop, without involvement of proximal or scapular muscles, and it may also include features such as rapidly progressive dementia, Paget disease of bone, and hand weakness.",True
nephrotic syndrome,"nephrotic syndrome, a kidney disorder characterized by significant protein loss in urine, low blood albumin, high cholesterol, and resulting swelling due to increased permeability of the renal glomeruli.",True
invasive ductal breast carcinoma,"invasive ductal breast carcinoma, the most common type of breast cancer, originates in the milk ducts and invades surrounding tissue, potentially spreading to other parts of the body.",True
phobic disorder,"phobic disorder, an anxiety disorder characterized by a persistent, excessive, and irrational fear of specific objects, situations, or environments that disrupts daily life.",True
Noonan syndrome,"Noonan syndrome, a genetic disorder that affects multiple body systems and often causes distinctive facial features, short stature, heart defects, and developmental delays.",True
Cryptococcal meningitis,"Cryptococcal meningitis, a potentially life-threatening fungal infection that inflames the membranes covering the brain and spinal cord, predominantly affects immunocompromised individuals and requires prompt, multi-agent antifungal treatment.",True
tibia fracture,"tibia fracture, a break in the larger shinbone often caused by high-energy injuries or overuse stress that requires proper diagnosis and treatment for effective healing.",True
uremia,"uremia, a serious medical condition resulting from kidney failure that causes a toxic buildup of waste products and leads to widespread metabolic, fluid, and electrolyte imbalances.",True
eumycotic mycetoma,"eumycotic mycetoma, a chronic, progressive deep fungal infection of the skin and subcutaneous tissues characterized by a painless mass, multiple discharging sinuses, and the presence of grain-like granules.",True
idiopathic interstitial pneumonia,"idiopathic interstitial pneumonia, a group of diffuse lung diseases of unknown cause characterized by interstitial inflammation and fibrosis that lead to progressive breathing difficulties and are differentiated by histopathologic patterns on lung biopsy.",True
tic disorder,"tic disorder, a neurological condition characterized by sudden, rapid, nonrhythmic movements or vocalizations that vary in frequency and severity and can impact daily functioning.",True
inherited ichthyosis,"inherited ichthyosis, a group of genetic skin disorders caused by mutations that disrupt keratinocyte function and skin barrier formation, resulting in widespread dry, thickened, and scaly skin.",True
central nervous system disease,"central nervous system disease, a condition affecting the brain and spinal cord through infections, tumors, autoimmune responses, degenerative changes, and vascular issues that disrupt essential neurological functions.",True
