disease,count,top1_disease,top2_disease,top3_disease,top4_disease,top5_disease,top1_mesh,top2_mesh,top3_mesh,top4_mesh,top5_mesh
Aromatic L-Amino Acid Decarboxylase Deficiency,2,Ornithine Carbamoyltransferase Deficiency Disease,Pyruvate Carboxylase Deficiency Disease,Folic Acid Deficiency,Dihydropyrimidine Dehydrogenase Deficiency,Biotinidase Deficiency,D020163,D015324,D005494,D054067,D028921
Allergy,2,Anaphylaxis,Dust Mite Allergy,Peanut Hypersensitivity,"Conjunctivitis, Allergic",Allergic Fungal Sinusitis,D000707,D000092542,D021183,D003233,D000092562
Juvenile Polymyositis,2,Polymyalgia Rheumatica,"Myoclonic Epilepsy, Juvenile","Arthritis, Juvenile",Polymicrogyria,Petrositis,D011111,D020190,D001171,D065706,D059270
Cryptorchidism,2,Cryptorchidism,Clonorchiasis,Neuroschistosomiasis,Choroideremia,"Meningitis, Cryptococcal",D003456,D003003,D020818,D015794,D016919
Henoch-Schoenlein Purpura,2,Purpura Fulminans,"Purpura, Thrombocytopenic, Idiopathic","Purpura, Thrombotic Thrombocytopenic",Hydropneumothorax,Choledocholithiasis,D055665,D016553,D011697,D006872,D042883
Burn-Mckeown Syndrome,2,Burning Mouth Syndrome,Laurence-Moon Syndrome,Mallory-Weiss Syndrome,Basal Cell Nevus Syndrome,Porcine Postweaning Multisystemic Wasting Syndrome,D002054,D007849,D008309,D001478,D053570
Adenocarcinoid Tumor,2,Tracheal Neoplasms,"Adenocarcinoma, Bronchiolo-Alveolar",Appendiceal Neoplasms,Bronchial Neoplasms,Anal Gland Neoplasms,D014134,D002282,D001063,D001984,D000694
Intellectual Disability,2,Intellectual Disability,"Dyslexia, Acquired",IgG Deficiency,"Hearing Loss, Conductive",Down Syndrome,D008607,D004411,D017099,D006314,D004314
Cardiovascular Disease,2,Coronary Artery Disease,Heartwater Disease,"Syphilis, Cardiovascular",Cardiovirus Infections,Rheumatic Heart Disease,D003324,D006357,D013589,D018188,D012214
Non-Functioning Pituitary Adenoma,2,ACTH-Secreting Pituitary Adenoma,Growth Hormone-Secreting Pituitary Adenoma,Pituitary Neoplasms,Adrenocortical Adenoma,"Adenoma, Pleomorphic",D049913,D049912,D010911,D018246,D008949
Mantle Cell Lymphoma,2,"Lymphoma, Mantle-Cell","Lymphoma, B-Cell, Marginal Zone",Plasmablastic Lymphoma,Burkitt Lymphoma,Composite Lymphoma,D020522,D018442,D000069293,D002051,D058617
Sotos Syndrome,2,Sotos Syndrome,Syndrome,Noonan Syndrome,Heterotaxy Syndrome,Sezary Syndrome,D058495,D013577,D009634,D059446,D012751
Primary Progressive Multiple Sclerosis,2,"Multiple Sclerosis, Chronic Progressive","Leukoencephalopathy, Progressive Multifocal","Supranuclear Palsy, Progressive",Primary Myelofibrosis,"Multiple Sclerosis, Relapsing-Remitting",D020528,D007968,D013494,D055728,D020529
Metabolic Syndrome,2,Metabolic Syndrome,Syndrome,Sweet Syndrome,Macrophage Activation Syndrome,Obesity Hypoventilation Syndrome,D024821,D013577,D016463,D055501,D010845
Lung Injury,2,Lung Injury,Smoke Inhalation Injury,Transfusion-Related Acute Lung Injury,Lung Abscess,Pulmonary Emphysema,D055370,D015208,D000073617,D008169,D011656
Adrenocortical Adenoma,2,Adrenocortical Adenoma,Adrenocortical Carcinoma,ACTH-Secreting Pituitary Adenoma,Tubular Sweat Gland Adenomas,Adenomatoid Tumor,D018246,D018268,D049913,D000074009,D018254
Chronic Thromboembolic Pulmonary Hypertension,2,Pulmonary Arterial Hypertension,"Hypertension, Pulmonary",Familial Primary Pulmonary Hypertension,Pulmonary Heart Disease,Pulmonary Veno-Occlusive Disease,D000081029,D006976,D065627,D011660,D011668
Membranous Nephropathy,2,"Glomerulonephritis, Membranous",Diabetic Nephropathies,"Glomerulonephritis, Membranoproliferative",Albuminuria,Lupus Nephritis,D015433,D003928,D015432,D000419,D008181
Minimal Change Disease,2,Mikulicz' Disease,Clinical Deterioration,Acute Disease,Neglected Diseases,Hemoglobin SC Disease,D008882,D000075902,D000208,D058069,D006450
Tuberculosis Infection,2,"Tuberculosis, Bovine","Tuberculosis, Meningeal","Tuberculosis, Laryngeal","Tuberculosis, Female Genital","Tuberculosis, Pleural",D014380,D014390,D014387,D014384,D014396
Mixed Hcc/Cc Tumours,2,"Mixed Tumor, Malignant","Mixed Tumor, Mesodermal","Mixed Tumor, Mullerian",Mixed Connective Tissue Disease,"Carcinoma, Hepatocellular",D018198,D018199,D018200,D008947,D006528
Acute Graft Versus Host Disease,2,Acute Disease,"Granulomatous Disease, Chronic",Delayed Graft Function,Primary Graft Dysfunction,Acute-Phase Reaction,D000208,D006105,D051799,D055031,D000210
Gastric Metaplastic Polyp,2,Colonic Polyps,Stomach Neoplasms,"Pyloric Stenosis, Hypertrophic",Gastrinoma,"Gastritis, Hypertrophic",D003111,D013274,D046248,D015408,D005758
Head Trauma,2,"Head Injuries, Penetrating","Brain Stem Hemorrhage, Traumatic",Brain Contusion,"Cerebral Hemorrhage, Traumatic",Dropped Head Syndrome,D020197,D020203,D000070624,D020202,D000094222
Eosinophilic Asthma,2,Eosinophilic Esophagitis,Eosinophilic Granuloma,Pulmonary Eosinophilia,"Asthma, Exercise-Induced","Asthma, Occupational",D057765,D004803,D011657,D001250,D059366
Pola1 Deficiency,2,alpha 1-Antitrypsin Deficiency,IgA Deficiency,Pyruvate Carboxylase Deficiency Disease,Biotinidase Deficiency,Factor V Deficiency,D019896,D017098,D015324,D028921,D005166
HTLV-1-Associated Myelopathy/Tropical Spastic Paraparesis,2,"Paraparesis, Tropical Spastic",HTLV-I Infections,"Paraparesis, Spastic","Spastic Paraplegia, Hereditary",HTLV-II Infections,D015493,D015490,D020336,D015419,D015491
Nedamss Syndrome,2,Sneddon Syndrome,Nelson Syndrome,LEOPARD Syndrome,Sezary Syndrome,De Lange Syndrome,D018860,D009347,D044542,D012751,D003635
Colorectal Adenocarcinoma,2,Colitis-Associated Neoplasms,Colonic Polyps,Sigmoid Neoplasms,Adenocarcinoma in Situ,"Colorectal Neoplasms, Hereditary Nonpolyposis",D000083023,D003111,D012811,D065311,D003123
Chronic Myelomonocytic Leukemia,2,"Leukemia, Myelomonocytic, Chronic","Leukemia, Myelomonocytic, Juvenile","Leukemia, Myeloid, Chronic-Phase","Leukemia, Myelomonocytic, Acute","Leukemia, Neutrophilic, Chronic",D015477,D054429,D015466,D015479,D015467
Chromophobe Renal Cell Carcinoma,2,"Carcinoma, Renal Cell","Adenoma, Chromophobe","Adenocarcinoma, Clear Cell",Chromoblastomycosis,"Carcinoma, Hepatocellular",D002292,D000238,D018262,D002862,D006528
Charcot-Marie-Tooth Disease Type 1A,2,Charcot-Marie-Tooth Disease,Caroli Disease,"Niemann-Pick Disease, Type C",Cracked Tooth Syndrome,Dent Disease,D002607,D016767,D052556,D003387,D057973
Spinocerebellar Ataxia Type 6 (Disorder),2,Cerebellar Ataxia,Gait Ataxia,"Bulbo-Spinal Atrophy, X-Linked",Glycogen Storage Disease Type VI,Oculocerebrorenal Syndrome,D002524,D020234,D055534,D006013,D009800
Uremia,2,Hemoglobinuria,Citrullinemia,Atypical Hemolytic Uremic Syndrome,Homocystinuria,"Hemoglobinuria, Paroxysmal",D006456,D020159,D065766,D006712,D006457
Latent Tuberculosis,2,Latent Tuberculosis,"Syphilis, Latent","Tuberculosis, Laryngeal","Tuberculosis, Bovine","Tuberculosis, Female Genital",D055985,D013592,D014387,D014380,D014384
Rhinosinusitis,2,Rhinoscleroma,Rhinosporidiosis,Rhinophyma,Cerebrospinal Fluid Rhinorrhea,Infectious Bovine Rhinotracheitis,D012226,D012227,D012224,D002559,D007241
Hypertension,2,Masked Hypertension,"Hypertension, Malignant","Hypertension, Pulmonary","Hypertension, Pregnancy-Induced",Pulmonary Arterial Hypertension,D059468,D006974,D006976,D046110,D000081029
Acute Quadriplegic Myopathy,2,Acute Pain,Acute Disease,Acute Chest Syndrome,Acute Febrile Encephalopathy,"Retinal Necrosis Syndrome, Acute",D059787,D000208,D056586,D000071072,D015882
Hereditary Spastic Paraplegia,2,"Spastic Paraplegia, Hereditary","Paraparesis, Spastic","Paraparesis, Tropical Spastic",Hereditary Central Nervous System Demyelinating Diseases,"Coproporphyria, Hereditary",D015419,D020336,D015493,D020279,D046349
Limb-Girdle Muscular Dystrophy Type 2B,2,Glycogen Storage Disease Type IIb,"Muscular Dystrophy, Duchenne","Muscular Dystrophy, Facioscapulohumeral",Glycogen Storage Disease Type II,Sarcoglycanopathies,D052120,D020388,D020391,D006009,D058088
Stroke,2,"Stroke, Lacunar",Hemorrhagic Stroke,Hemiplegia,"Infarction, Anterior Cerebral Artery",Embolic Stroke,D059409,D000083302,D006429,D020243,D000083262
Gastroesophageal Reflux Disease,2,Laryngopharyngeal Reflux,"Esophagitis, Peptic",Duodenogastric Reflux,Eosinophilic Esophagitis,Bile Reflux,D057045,D004942,D004383,D057765,D001655
Urothelial Carcinoma,2,Urethral Neoplasms,Ureteral Neoplasms,"Carcinoma, Transitional Cell","Carcinoma, Renal Cell",Nasopharyngeal Carcinoma,D014523,D014516,D002295,D002292,D000077274
Pulmonary Hypertension,2,Pulmonary Arterial Hypertension,"Hypertension, Pulmonary",Pulmonary Heart Disease,Familial Primary Pulmonary Hypertension,Pulmonary Fibrosis,D000081029,D006976,D011660,D065627,D011658
Global Developmental Delay,2,"Puberty, Delayed",Prenatal Exposure Delayed Effects,Congenital Cranial Dysinnervation Disorders,Fetal Growth Retardation,"Lipodystrophy, Congenital Generalized",D011628,D011297,D000093922,D005317,D052497
Metastatic Pancreatic Ductal Adenocarcinoma,2,"Carcinoma, Pancreatic Ductal",Pancreatic Intraductal Neoplasms,Pancreaticobiliary Maljunction,"Carcinoma, Ductal, Breast","Adenocarcinoma, Bronchiolo-Alveolar",D021441,D000077779,D000080222,D018270,D002282
Gastric Adenocarcinoma,2,Stomach Neoplasms,Gallbladder Neoplasms,Gastrinoma,"Adenocarcinoma, Bronchiolo-Alveolar",Adenocarcinoma in Situ,D013274,D005706,D015408,D002282,D065311
Cervical Squamous Cell Carcinoma,2,Esophageal Squamous Cell Carcinoma,Squamous Cell Carcinoma of Head and Neck,Atypical Squamous Cells of the Cervix,Uterine Cervical Neoplasms,Squamous Intraepithelial Lesions of the Cervix,D000077277,D000077195,D065309,D002583,D065310
Hemorrhoids,2,Hemorrhoids,Hemoptysis,Rectal Prolapse,Retinal Hemorrhage,Vitreous Hemorrhage,D006484,D006469,D012005,D012166,D014823
Erythema Migrans,2,Erythema Chronicum Migrans,Erythema Infectiosum,Larva Migrans,Erythema Nodosum,Erythema Ab Igne,D015787,D016731,D007815,D004893,D000089965
Idiopathic Environmental Intolerance,2,Idiopathic Hypersomnia,"Jaundice, Chronic Idiopathic",Equine Infectious Anemia,Orthostatic Intolerance,Infectious Mononucleosis,D020177,D007566,D004859,D054971,D007244
Adult Onset Asthma,2,"Asthma, Occupational","Asthma, Aspirin-Induced","Asthma, Exercise-Induced","Still's Disease, Adult-Onset",Asthma-Chronic Obstructive Pulmonary Disease Overlap Syndrome,D059366,D055963,D001250,D016706,D000080445
Colon Serrated Polyposis,2,Colonic Polyps,Nasal Polyps,Colitis-Associated Neoplasms,"Colorectal Neoplasms, Hereditary Nonpolyposis",Sigmoid Neoplasms,D003111,D009298,D000083023,D003123,D012811
Wegener's Granulomatosis,2,Lymphomatoid Granulomatosis,Granulomatosis with Polyangiitis,"Granuloma, Giant Cell",Granuloma Inguinale,"Granuloma, Pyogenic",D008230,D014890,D006101,D006100,D017789
Tumorigenesis,2,Tracheal Neoplasms,Vascular Neoplasms,Femoral Neoplasms,Ureteral Neoplasms,Muscle Neoplasms,D014134,D019043,D005266,D014516,D019042
Bacterial Meningitis,2,"Meningitis, Pneumococcal","Meningitis, Haemophilus","Meningitis, Listeria","Meningitis, Aseptic","Meningitis, Cryptococcal",D008586,D008583,D008584,D008582,D016919
Aplastic Anemia,2,"Anemia, Aplastic","Leukemia, Promyelocytic, Acute",Pancytopenia,"Anemia, Sideroblastic","Anemia, Refractory, with Excess of Blasts",D000741,D015473,D010198,D000756,D000754
Globoid Cell Leukodystrophy,2,"Leukodystrophy, Globoid Cell","Leukodystrophy, Metachromatic",Posterior Leukoencephalopathy Syndrome,"Carcinoma, Giant Cell","Leukoencephalopathy, Progressive Multifocal",D007965,D007966,D054038,D018286,D007968
Tuberculous Meningitis,2,"Tuberculosis, Meningeal","Tuberculosis, Pleural","Tuberculoma, Intracranial","Peritonitis, Tuberculous","Meningitis, Cryptococcal",D014390,D014396,D016862,D014395,D016919
T-Cell Prolymphocytic Leukemia,2,"Leukemia, Prolymphocytic, T-Cell","Leukemia-Lymphoma, Adult T-Cell","Leukemia, Plasma Cell",Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,"Leukemia, Lymphocytic, Chronic, B-Cell",D015461,D015459,D007952,D054218,D015451
Bacterial Pneumonia,2,"Pneumonia, Pneumococcal","Pneumonia, Staphylococcal",Chlamydial Pneumonia,"Pasteurellosis, Pneumonic","Pneumonia, Mycoplasma",D011018,D011023,D061387,D012766,D011019
Meningioma,2,Meningioma,Meningism,Glioblastoma,Meningocele,Craniopharyngioma,D008579,D008580,D005909,D008588,D003397
Giant Cell Arteritis,2,Giant Cell Arteritis,"Granuloma, Giant Cell",Takayasu Arteritis,Giant Cell Tumor of Bone,"Carcinoma, Giant Cell",D013700,D006101,D013625,D018212,D018286
Chronic Fatigue Syndrome,2,"Fatigue Syndrome, Chronic",Chronic Pain,"Wasting Disease, Chronic",Felty Syndrome,Radiation Fibrosis Syndrome,D015673,D059350,D034081,D005258,D000087525
Villitis of Unknown Etiology,2,"Synovitis, Pigmented Villonodular",Fever of Unknown Origin,Chronic Kidney Diseases of Uncertain Etiology,Enterotoxemia,Immunoproliferative Small Intestinal Disease,D013586,D005335,D000092702,D004767,D007161
Granulosa Cell Tumor,2,Granulosa Cell Tumor,Granular Cell Tumor,Sertoli Cell Tumor,Leydig Cell Tumor,Sertoli-Leydig Cell Tumor,D006106,D016586,D012707,D007984,D018310
Liver Dysplastic Nodule,2,"Liver Neoplasms, Experimental",Dysplastic Nevus Syndrome,"Adenoma, Liver Cell",Rheumatoid Nodule,"Liver Cirrhosis, Alcoholic",D008114,D004416,D018248,D012218,D008104
Dengue Hemorrhagic Fever,2,"Hemorrhagic Fever, Ebola","Hemorrhagic Fever, American",Hemorrhagic Fever with Renal Syndrome,"Hemorrhagic Fever, Crimean",Severe Dengue,D019142,D006478,D006480,D006479,D019595
Cutaneous Squamous Cell Carcinoma,2,Esophageal Squamous Cell Carcinoma,Squamous Cell Carcinoma of Head and Neck,"Carcinoma, Skin Appendage","Lymphoma, Primary Cutaneous Anaplastic Large Cell","Candidiasis, Cutaneous",D000077277,D000077195,D018280,D054446,D002179
RelA haploinsufficiency,2,Chromosome Deletion,Polymyalgia Rheumatica,GATA2 Deficiency,Familial Hypophosphatemic Rickets,Hemospermia,D002872,D011111,D000077428,D053098,D051516
Ophthalmopathies Thyroid Assoc,2,Graves Ophthalmopathy,"Ophthalmia, Sympathetic",Ophthalmia Neonatorum,"Toxoplasmosis, Ocular",Ocular Motility Disorders,D049970,D009879,D009878,D014126,D015835
Cockayne Syndrome,2,Cockayne Syndrome,Cushing Syndrome,Serotonin Syndrome,Syndrome,Nephrotic Syndrome,D003057,D003480,D020230,D013577,D009404
Ependymoma,2,Chordoma,"Papilloma, Choroid Plexus",Cementoma,Prolactinoma,Epidural Neoplasms,D002817,D020288,D002485,D015175,D015174
Pseudotumor (Inflammatory) of Orbit,2,Orbital Pseudotumor,Pseudotumor Cerebri,Orbital Neoplasms,Orbital Cellulitis,"Paraneoplastic Syndromes, Ocular",D016727,D011559,D009918,D054517,D059545
Diabetic Peripheral Angiopathy,2,Diabetic Neuropathies,Diabetic Retinopathy,Diabetic Nephropathies,Microscopic Polyangiitis,Diabetic Foot,D003929,D003930,D003928,D055953,D017719
Malignant Germ Cell Tumor,2,Granulosa Cell Tumor,"Mixed Tumor, Malignant",Teratocarcinoma,Leydig Cell Tumor,Granular Cell Tumor,D006106,D018198,D018243,D007984,D016586
Diamond-Blackfan Anemia,2,"Anemia, Diamond-Blackfan","Anemia, Sideroblastic",Shwachman-Diamond Syndrome,"Anemia, Iron-Deficiency",Fanconi Anemia,D029503,D000756,D000081003,D018798,D005199
Idiopathic Myelofibrosis,2,Primary Myelofibrosis,Idiopathic Hypersomnia,Infectious Mononucleosis,"Purpura, Thrombocytopenic, Idiopathic","Hyperostosis, Diffuse Idiopathic Skeletal",D055728,D020177,D007244,D016553,D004057
Diabetes Mellitus,2,"Diabetes Mellitus, Type 1",Diabetic Foot,"Diabetes Mellitus, Experimental",Diabetic Retinopathy,"Diabetes, Gestational",D003922,D017719,D003921,D003930,D016640
Autoinflammatory Disease,2,Neuroinflammatory Diseases,Lafora Disease,De Quervain Disease,Undifferentiated Connective Tissue Diseases,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",D000090862,D020192,D053684,D000074079,D020277
Turner Syndrome,2,Turner Syndrome,Nelson Syndrome,Syndrome,Gardner Syndrome,Trisomy 13 Syndrome,D014424,D009347,D013577,D005736,D000073839
Retinoblastoma,2,Retinoblastoma,Medulloblastoma,Rhabdoid Tumor,Hemangioblastoma,Intraocular Lymphoma,D012175,D008527,D018335,D018325,D064090
Cancer of The Gastric Cardia,2,Stomach Neoplasms,Gallbladder Neoplasms,"Carcinoma, Pancreatic Ductal",Duodenal Neoplasms,Nasopharyngeal Carcinoma,D013274,D005706,D021441,D004379,D000077274
Duodenitis,2,Duodenitis,Duodenogastric Reflux,Dyspepsia,Duodenal Obstruction,Duodenal Ulcer,D004382,D004383,D004415,D004380,D004381
Lupus Erythematosus,2,Lupus Nephritis,Lupus Vulgaris,"Panniculitis, Lupus Erythematosus","Lupus Vasculitis, Central Nervous System",Sclerosis,D008181,D008177,D015435,D020945,D012598
Recessive Dystrophic Epidermolysis Bullosa,2,Epidermolysis Bullosa Dystrophica,Epidermolysis Bullosa Simplex,"Epidermolysis Bullosa, Junctional",Epidermolysis Bullosa Acquisita,"Ectodermal Dysplasia, Hypohidrotic, Autosomal Recessive",D016108,D016110,D016109,D016107,D053360
Medullary Thyroid Cancer,2,"Carcinoma, Medullary","Thyroid Cancer, Papillary","Thyroid Carcinoma, Anaplastic","Carcinoma, Papillary","Carcinoma, Papillary, Follicular",D018276,D000077273,D065646,D002291,D018265
Mucormycosis,2,Mucormycosis,"Leishmaniasis, Mucocutaneous",Mucocele,Mucositis,"Candidiasis, Chronic Mucocutaneous",D009091,D007897,D009078,D052016,D002178
Candidiasis,2,"Candidiasis, Oral","Candidiasis, Cutaneous","Candidiasis, Chronic Mucocutaneous","Candidiasis, Vulvovaginal",Candidemia,D002180,D002179,D002178,D002181,D058387
Aspergillosis,2,Invasive Pulmonary Aspergillosis,"Aspergillosis, Allergic Bronchopulmonary",Paracoccidioidomycosis,Mucormycosis,Anthrax,D055744,D001229,D010229,D009091,D000881
Vexas Syndrome,2,Ellis-Van Creveld Syndrome,Sezary Syndrome,Platypnea Orthodeoxia Syndrome,Turner Syndrome,Antley-Bixler Syndrome Phenotype,D004613,D012751,D000092129,D014424,D054882
Non-Proliferative Dr,2,"Vitreoretinopathy, Proliferative",Non-Radiographic Axial Spondyloarthritis,Persistent Hyperplastic Primary Vitreous,Diabetic Retinopathy,"Panniculitis, Nodular Nonsuppurative",D018630,D000089202,D054514,D003930,D010201
Maculopapular Lesion,2,Bilateral Vestibulopathy,Polypoidal Choroidal Vasculopathy,Vulvar Vestibulitis,Multifocal Choroiditis,"Panniculitis, Nodular Nonsuppurative",D000071699,D000092342,D054515,D000080364,D010201
Non steroidal Anti-Inflammatory Drug,2,Non-alcoholic Fatty Liver Disease,Neuroinflammatory Diseases,"Akathisia, Drug-Induced","Asthma, Aspirin-Induced","Panniculitis, Nodular Nonsuppurative",D065626,D000090862,D017109,D055963,D010201
Ischemic Cardiomyopathy,2,Ischemic Contracture,"Cardiomyopathy, Alcoholic","Colitis, Ischemic",Diabetic Cardiomyopathies,"Cardiomyopathy, Restrictive",D054061,D002310,D017091,D058065,D002313
Cerebral Cavernous Malformation,2,"Hemangioma, Cavernous, Central Nervous System",Cavernous Sinus Thrombosis,Central Nervous System Venous Angioma,"Cystic Adenomatoid Malformation of Lung, Congenital",Carotid-Cavernous Sinus Fistula,D020786,D020226,D020787,D015615,D020216
Sarcopenia,2,Sarcopenia,Frailty,Cachexia,Scoliosis,Asthenia,D055948,D000073496,D002100,D012600,D001247
Borderline Ovarian Epithelial Tumor,2,"Carcinoma, Ovarian Epithelial",Hereditary Breast and Ovarian Cancer Syndrome,Granulosa Cell Tumor,Orbital Neoplasms,Phyllodes Tumor,D000077216,D061325,D006106,D009918,D003557
Kidney Tumor,2,"Carcinoma, Renal Cell",Ureteral Neoplasms,Adrenal Rest Tumor,Sertoli Cell Tumor,Rhabdoid Tumor,D002292,D014516,D000314,D012707,D018335
Sporadic Creutzfeldt-Jakob Disease,2,Creutzfeldt-Jakob Syndrome,Scheuermann Disease,Pick Disease of the Brain,Charles Bonnet Syndrome,Papillon-Lefevre Disease,D007562,D012544,D020774,D000075562,D010214
Migraine,2,Migraine with Aura,Migraine without Aura,Myalgia,Meningioma,Meningism,D020325,D020326,D063806,D008579,D008580
Increased Intracranial Pressure,2,"Intracranial Hemorrhage, Hypertensive",Intracranial Hypotension,Intracranial Embolism,Intracranial Aneurysm,"Vasospasm, Intracranial",D020299,D019585,D020766,D002532,D020301
Idiopathic Pulmonary Arterial Hypertension,2,Pulmonary Arterial Hypertension,Idiopathic Noncirrhotic Portal Hypertension,"Hypertension, Pulmonary",Familial Primary Pulmonary Hypertension,Idiopathic Hypersomnia,D000081029,D000094724,D006976,D065627,D020177
